iter	Logloss
0	0.672658902
1	0.6549559379
2	0.6399932188
3	0.6249365721
4	0.6108180124
5	0.5984910247
6	0.5865559969
7	0.5752437559
8	0.5644382597
9	0.5550847713
10	0.5467675161
11	0.5411361352
12	0.5338355897
13	0.5268074242
14	0.5200628102
15	0.5139190145
16	0.509887225
17	0.5049339418
18	0.5018340582
19	0.4982873296
20	0.4946277381
21	0.4905313066
22	0.4868259105
23	0.484522503
24	0.4816927736
25	0.4788458042
26	0.4759494906
27	0.4730175423
28	0.4710664036
29	0.4683149162
30	0.4656851738
31	0.4639343137
32	0.4616179592
33	0.4600654984
34	0.4581723075
35	0.4561921904
36	0.4546442099
37	0.4537486573
38	0.4524908174
39	0.4509991713
40	0.4490855711
41	0.4484924422
42	0.4473900955
43	0.4461978799
44	0.4452955757
45	0.4445123398
46	0.4437000781
47	0.4429781426
48	0.4418580459
49	0.4405414467
50	0.4403405833
51	0.4389501908
52	0.4378817485
53	0.4366063142
54	0.435799989
55	0.4344403241
56	0.4333354609
57	0.4320143754
58	0.4311735043
59	0.4304960036
60	0.4298926334
61	0.4293455113
62	0.4283491117
63	0.4277255708
64	0.4268881031
65	0.4258204108
66	0.4250915784
67	0.4243013403
68	0.4231384294
69	0.4226165527
70	0.4222148135
71	0.4216186472
72	0.421333115
73	0.420819317
74	0.4201554929
75	0.4199736097
76	0.4196388019
77	0.4192372157
78	0.4190668209
79	0.4184616279
80	0.4178536745
81	0.4177025654
82	0.4171069584
83	0.4165453408
84	0.4161802935
85	0.4157234138
86	0.4155019718
87	0.4148804309
88	0.4141792883
89	0.4136344767
90	0.412980731
91	0.4123357066
92	0.4114957345
93	0.4109411529
94	0.4109224258
95	0.4108086383
96	0.4105540722
97	0.4104812482
98	0.4101744113
99	0.4097259392
100	0.4092279395
101	0.4085806423
102	0.4085793541
103	0.4085332095
104	0.4082302166
105	0.408092731
106	0.407787654
107	0.4074870827
108	0.4074720698
109	0.4071186384
110	0.4070864735
111	0.4068605651
112	0.4058319459
113	0.4054521524
114	0.4047957113
115	0.4045409287
116	0.4044493604
117	0.4039508366
118	0.4036680908
119	0.4032231644
120	0.4028716233
121	0.402597318
122	0.4023446964
123	0.4019094019
124	0.4014607825
125	0.401261234
126	0.4011483693
127	0.4007170626
128	0.4004725463
129	0.4004383827
130	0.4002366935
131	0.3995941019
132	0.3993436084
133	0.3992960038
134	0.3990781145
135	0.3984894011
136	0.3982610431
137	0.3980645814
138	0.3977956024
139	0.3975157597
140	0.3975080048
141	0.3975077127
142	0.3973052026
143	0.3972655724
144	0.3969993298
145	0.3969848651
146	0.3963971984
147	0.3959957612
148	0.3956553699
149	0.3956019539
150	0.3952028916
151	0.3949812668
152	0.3947607365
153	0.394275814
154	0.3940224291
155	0.3940059774
156	0.3937521594
157	0.3937255266
158	0.3934694246
159	0.39275084
160	0.3926184118
161	0.3923770463
162	0.3919458006
163	0.3919457678
164	0.3917303628
165	0.3913151716
166	0.3909322299
167	0.3909321049
168	0.3905973724
169	0.3905286111
170	0.3900450297
171	0.3896163821
172	0.3893966895
173	0.3890836749
174	0.3885413417
175	0.3880826869
176	0.3879122271
177	0.3874091016
178	0.3871699207
179	0.3871667437
180	0.3868410296
181	0.3868255595
182	0.3867333703
183	0.3864750721
184	0.3858602369
185	0.3857626938
186	0.3856857376
187	0.3853337011
188	0.3846993895
189	0.3845362031
190	0.3844624748
191	0.3844613377
192	0.3835946245
193	0.3835944939
194	0.3835943709
195	0.3834642206
196	0.3834599855
197	0.3829469738
198	0.3829467208
199	0.3829156306
200	0.3828176003
201	0.3827532337
202	0.3827531938
203	0.3826831034
204	0.3824670012
205	0.3823047932
206	0.3820601987
207	0.3820251798
208	0.3820251125
209	0.3817988025
210	0.3815612874
211	0.3815535376
212	0.3814719754
213	0.3813419655
214	0.3809512892
215	0.3805571449
216	0.3803917301
217	0.3800341022
218	0.3798280314
219	0.3798228738
220	0.3798159491
221	0.3795435884
222	0.379537938
223	0.3795248136
224	0.379302826
225	0.3792066421
226	0.3791973857
227	0.3787647552
228	0.378755923
229	0.3784687538
230	0.3782484064
231	0.3780922884
232	0.3780839037
233	0.378033858
234	0.3779113472
235	0.3776151668
236	0.3775148291
237	0.3773538841
238	0.3771725424
239	0.3771578584
240	0.3770050907
241	0.3767700656
242	0.3763531601
243	0.3759656286
244	0.3756167228
245	0.3756109619
246	0.3754700046
247	0.3750538423
248	0.3750537173
249	0.3749796331
250	0.3749720683
251	0.3746159757
252	0.3746042219
253	0.3743512063
254	0.3740814181
255	0.373807207
256	0.37355772
257	0.3729622288
258	0.3729620633
259	0.3726939779
260	0.3725227378
261	0.3724472134
262	0.3723003266
263	0.3720430332
264	0.3718376929
265	0.3716196401
266	0.3710766948
267	0.371033192
268	0.3710043106
269	0.370814215
270	0.3708117835
271	0.3706439124
272	0.3699735477
273	0.3698657299
274	0.3698466998
275	0.3696491551
276	0.3689785035
277	0.3687986465
278	0.3682141504
279	0.3681706504
280	0.3680060126
281	0.3676252653
282	0.3673978124
283	0.3673922302
284	0.3671143427
285	0.3668386186
286	0.3665320155
287	0.3662331205
288	0.3660259821
289	0.3654018943
290	0.3650667713
291	0.3648814957
292	0.3647661894
293	0.3645564463
294	0.364341305
295	0.3639334734
296	0.3639011033
297	0.3639010141
298	0.3638158296
299	0.3638155368
