iter	Passed	Remaining
0	1	566
1	3	543
2	5	506
3	6	488
4	8	490
5	9	487
6	11	486
7	13	483
8	14	481
9	16	477
10	18	473
11	19	471
12	22	489
13	24	490
14	25	489
15	27	488
16	29	486
17	30	485
18	32	483
19	34	482
20	36	481
21	37	480
22	39	479
23	41	478
24	43	476
25	45	474
26	46	472
27	48	469
28	50	468
29	51	465
30	53	463
31	54	460
32	56	458
33	58	455
34	59	454
35	61	452
36	63	450
37	65	449
38	66	448
39	68	446
40	70	444
41	72	443
42	73	441
43	75	439
44	77	438
45	79	438
46	81	436
47	82	435
48	84	434
49	86	433
50	88	431
51	90	430
52	92	428
53	93	427
54	95	425
55	97	424
56	99	422
57	100	421
58	102	419
59	104	417
60	106	416
61	108	414
62	109	413
63	111	411
64	113	410
65	115	409
66	117	407
67	118	405
68	120	403
69	122	402
70	124	400
71	125	398
72	128	399
73	129	396
74	131	393
75	132	391
76	134	389
77	136	387
78	138	386
79	139	384
80	141	382
81	143	380
82	144	379
83	146	377
84	148	375
85	150	373
86	151	371
87	153	369
88	155	367
89	156	365
90	158	363
91	160	361
92	161	359
93	163	358
94	165	356
95	166	354
96	168	352
97	170	350
98	171	348
99	173	347
100	175	345
101	176	343
102	178	341
103	180	340
104	182	338
105	183	336
106	186	336
107	188	334
108	189	332
109	191	330
110	193	328
111	194	327
112	197	326
113	199	324
114	200	322
115	202	320
116	203	318
117	205	316
118	207	315
119	208	313
120	211	312
121	212	310
122	214	308
123	216	307
124	218	305
125	219	303
126	221	301
127	223	299
128	224	298
129	226	296
130	228	294
131	230	292
132	231	290
133	233	289
134	235	287
135	236	285
136	238	283
137	240	282
138	242	280
139	243	278
140	245	276
141	247	274
142	248	273
143	250	271
144	252	269
145	254	267
146	255	266
147	257	264
148	259	262
149	261	261
150	262	259
151	264	257
152	266	255
153	267	253
154	269	252
155	271	250
156	272	248
157	274	246
158	276	244
159	277	243
160	279	241
161	281	239
162	283	237
163	285	236
164	286	234
165	288	232
166	290	231
167	291	229
168	293	227
169	295	226
170	297	224
171	299	222
172	301	221
173	303	219
174	305	218
175	307	216
176	309	214
177	310	212
178	312	211
179	314	209
180	315	207
181	317	205
182	319	204
183	321	202
184	322	200
185	324	198
186	326	197
187	327	195
188	329	193
189	331	191
190	332	189
191	334	188
192	336	186
193	337	184
194	339	182
195	341	181
196	342	179
197	344	177
198	346	175
199	348	174
200	349	172
201	351	170
202	353	168
203	355	167
204	356	165
205	358	163
206	360	161
207	362	160
208	363	158
209	365	156
210	367	154
211	368	153
212	370	151
213	372	149
214	374	147
215	375	146
216	377	144
217	379	142
218	381	140
219	382	139
220	384	137
221	386	135
222	388	134
223	389	132
224	391	130
225	393	128
226	395	127
227	396	125
228	398	123
229	400	121
230	401	120
231	404	118
232	406	116
233	408	115
234	409	113
235	411	111
236	413	109
237	415	108
238	416	106
239	418	104
240	420	102
241	421	101
242	423	99
243	425	97
244	427	95
245	428	94
246	430	92
247	432	90
248	433	88
249	435	87
250	437	85
251	438	83
252	440	81
253	442	80
254	443	78
255	445	76
256	447	74
257	449	73
258	450	71
259	452	69
260	454	67
261	455	66
262	457	64
263	459	62
264	460	60
265	462	59
266	464	57
267	465	55
268	467	53
269	469	52
270	470	50
271	472	48
272	474	46
273	476	45
274	477	43
275	480	41
276	481	40
277	483	38
278	485	36
279	486	34
280	488	33
281	490	31
282	491	29
283	493	27
284	495	26
285	496	24
286	498	22
287	500	20
288	502	19
289	504	17
290	506	15
291	508	13
292	510	12
293	512	10
294	514	8
295	515	6
296	517	5
297	519	3
298	521	1
299	522	0
